sample	r1_raw	r2_raw	r1_trimmed_paired	r2_trimmed_paired
sample2177	2004	2004	2004	2004
sample2433	2004	2004	2004	2004
sample2689	2004	2004	2004	2004
sample1921	2004	2004	2004	2004
sample2690	2004	2004	2004	2004
sample2178	2004	2004	2003	2003
sample2434	2004	2004	2004	2004
sample1922	2004	2004	2004	2004
sample2691	2004	2004	2004	2004
sample2179	2004	2004	2004	2004
sample2435	2004	2004	2003	2003
sample1923	2004	2004	2003	2003
sample2692	2004	2004	2004	2004
sample2180	2004	2004	2004	2004
sample2436	2004	2004	2003	2003
sample1924	2004	2004	2004	2004
sample2693	2004	2004	2004	2004
sample2181	2004	2004	2003	2003
sample2437	2004	2004	2004	2004
sample1925	2004	2004	2002	2002
sample2694	2004	2004	2003	2003
sample2182	2004	2004	2004	2004
sample2438	2004	2004	2004	2004
sample1926	2004	2004	2003	2003
sample2695	2004	2004	2004	2004
sample2183	2004	2004	2003	2003
sample2439	2004	2004	2003	2003
sample1927	2004	2004	2004	2004
sample2696	2004	2004	2004	2004
sample2184	2004	2004	2004	2004
sample2440	2004	2004	2004	2004
sample2697	2004	2004	2003	2003
sample2185	2004	2004	2003	2003
sample1928	2004	2004	2004	2004
sample2441	2004	2004	2003	2003
sample2186	2004	2004	2004	2004
sample2698	2004	2004	2002	2002
sample1929	2004	2004	2003	2003
sample2442	2004	2004	2004	2004
sample2699	2004	2004	2004	2004
sample2187	2004	2004	2001	2001
sample1930	2004	2004	2003	2003
sample2700	2004	2004	2002	2002
sample2188	2004	2004	2004	2004
sample2443	2004	2004	2003	2003
sample1931	2004	2004	2003	2003
sample2701	2004	2004	2003	2003
sample2189	2004	2004	2004	2004
sample2444	2004	2004	2004	2004
sample1932	2004	2004	2001	2001
sample2702	2004	2004	2003	2003
sample2190	2004	2004	2001	2001
sample2445	2004	2004	2002	2002
sample1933	2004	2004	2002	2002
sample2703	2004	2004	2002	2002
sample2191	2004	2004	2003	2003
sample2446	2004	2004	2001	2001
sample1934	2004	2004	2003	2003
sample2704	2004	2004	2003	2003
sample2192	2004	2004	2002	2002
sample2447	2004	2004	2002	2002
sample1935	2004	2004	2004	2004
sample2193	2004	2004	2003	2003
sample2705	2004	2004	2004	2004
sample2448	2004	2004	2004	2004
sample2706	2004	2004	2003	2003
sample1936	2004	2004	2004	2004
sample2194	2004	2004	2004	2004
sample2449	2004	2004	2004	2004
sample2195	2004	2004	2002	2002
sample2707	2004	2004	2003	2003
sample1937	2004	2004	2004	2004
sample2450	2004	2004	2004	2004
sample2196	2004	2004	2003	2003
sample2708	2004	2004	2001	2001
sample1938	2004	2004	2004	2004
sample2451	2004	2004	2002	2002
sample2197	2004	2004	2003	2003
sample2709	2004	2004	2004	2004
sample1939	2004	2004	2003	2003
sample2452	2004	2004	2002	2002
sample2198	2004	2004	2004	2004
sample2710	2004	2004	2003	2003
sample2453	2004	2004	2004	2004
sample1940	2004	2004	2002	2002
sample2199	2004	2004	2004	2004
sample2711	2004	2004	2003	2003
sample2454	2004	2004	2002	2002
sample2200	2004	2004	2003	2003
sample1941	2004	2004	2004	2004
sample2712	2004	2004	2003	2003
sample2455	2004	2004	2001	2001
sample2201	2004	2004	2003	2003
sample1942	2004	2004	2001	2001
sample2713	2004	2004	2004	2004
sample2202	2004	2004	2002	2002
sample2456	2004	2004	2002	2002
sample2714	2004	2004	2004	2004
sample1943	2004	2004	2002	2002
sample2203	2004	2004	2001	2001
sample2457	2004	2004	2003	2003
sample2715	2004	2004	2002	2002
sample1944	2004	2004	2003	2003
sample2204	2004	2004	2003	2003
sample2458	2004	2004	2004	2004
sample2716	2004	2004	2000	2000
sample1945	2004	2004	2003	2003
sample2205	2004	2004	2004	2004
sample2459	2004	2004	2003	2003
sample2717	2004	2004	2003	2003
sample1946	2004	2004	2004	2004
sample2206	2004	2004	2002	2002
sample2460	2004	2004	2004	2004
sample2718	2004	2004	2002	2002
sample1947	2004	2004	2003	2003
sample2207	2004	2004	2003	2003
sample2461	2004	2004	2004	2004
sample2719	2004	2004	2002	2002
sample1948	2004	2004	2004	2004
sample2208	2004	2004	2003	2003
sample2462	2004	2004	2004	2004
sample2720	2004	2004	2004	2004
sample1949	2004	2004	2001	2001
sample2209	2004	2004	2003	2003
sample2721	2004	2004	2004	2004
sample2463	2004	2004	2004	2004
sample1950	2004	2004	2002	2002
sample2210	2004	2004	2002	2002
sample2722	2004	2004	2000	2000
sample2464	2004	2004	2004	2004
sample2211	2004	2004	2002	2002
sample1951	2004	2004	2004	2004
sample2723	2004	2004	2004	2004
sample2465	2004	2004	2003	2003
sample2212	2004	2004	2004	2004
sample1952	2004	2004	2003	2003
sample2724	2004	2004	2004	2004
sample2466	2004	2004	2004	2004
sample2213	2004	2004	2002	2002
sample1953	2004	2004	2002	2002
sample2725	2004	2004	2002	2002
sample2214	2004	2004	2003	2003
sample2467	2004	2004	2004	2004
sample1954	2004	2004	2003	2003
sample2726	2004	2004	2002	2002
sample2215	2004	2004	2003	2003
sample2468	2004	2004	2004	2004
sample1955	2004	2004	2003	2003
sample2727	2004	2004	2003	2003
sample2216	2004	2004	2002	2002
sample2469	2004	2004	2004	2004
sample1956	2004	2004	2002	2002
sample2728	2004	2004	2004	2004
sample2217	2004	2004	2004	2004
sample2470	2004	2004	2003	2003
sample2729	2004	2004	2003	2003
sample1957	2004	2004	2003	2003
sample2218	2004	2004	2004	2004
sample2471	2004	2004	2001	2001
sample2730	2004	2004	2003	2003
sample1958	2004	2004	2001	2001
sample2219	2004	2004	2002	2002
sample2472	2004	2004	2004	2004
sample2731	2004	2004	2002	2002
sample1959	2004	2004	2002	2002
sample2220	2004	2004	2002	2002
sample2732	2004	2004	2001	2001
sample2473	2004	2004	2004	2004
sample1960	2004	2004	2003	2003
sample1961	2004	2004	2002	2002
sample2221	2004	2004	2003	2003
sample2733	2004	2004	2003	2003
sample2474	2004	2004	2003	2003
sample1962	2004	2004	2004	2004
sample2222	2004	2004	2004	2004
sample2734	2004	2004	2003	2003
sample2475	2004	2004	2000	2000
sample2223	2004	2004	2002	2002
sample1963	2004	2004	2004	2004
sample2735	2004	2004	2001	2001
sample2476	2004	2004	2004	2004
sample2224	2004	2004	2003	2003
sample1964	2004	2004	2003	2003
sample2736	2004	2004	2004	2004
sample2225	2004	2004	2002	2002
sample2477	2004	2004	2004	2004
sample1965	2004	2004	2004	2004
sample2737	2004	2004	2003	2003
sample2226	2004	2004	2003	2003
sample2478	2004	2004	2004	2004
sample1966	2004	2004	2004	2004
sample2738	2004	2004	2003	2003
sample2227	2004	2004	1999	1999
sample2479	2004	2004	2003	2003
sample1967	2004	2004	2004	2004
sample2739	2004	2004	2003	2003
sample2228	2004	2004	2002	2002
sample2480	2004	2004	2004	2004
sample2740	2004	2004	2004	2004
sample1968	2004	2004	2004	2004
sample2229	2004	2004	2004	2004
sample2481	2004	2004	2004	2004
sample2741	2004	2004	2003	2003
sample2230	2004	2004	2002	2002
sample1969	2004	2004	2004	2004
sample2482	2004	2004	2004	2004
sample2742	2004	2004	2004	2004
sample2231	2004	2004	2004	2004
sample2743	2004	2004	2004	2004
sample2483	2004	2004	2003	2003
sample1970	2004	2004	2004	2004
sample2232	2004	2004	2004	2004
sample2744	2004	2004	2002	2002
sample2484	2004	2004	2003	2003
sample1971	2004	2004	2001	2001
sample2233	2004	2004	2003	2003
sample2745	2004	2004	2002	2002
sample2485	2004	2004	2003	2003
sample1972	2004	2004	2003	2003
sample2234	2004	2004	2002	2002
sample2746	2004	2004	2004	2004
sample2486	2004	2004	2004	2004
sample1973	2004	2004	2004	2004
sample2235	2004	2004	2004	2004
sample2747	2004	2004	2003	2003
sample2487	2004	2004	2004	2004
sample2236	2004	2004	2004	2004
sample1974	2004	2004	2002	2002
sample2748	2004	2004	2003	2003
sample2488	2004	2004	2003	2003
sample2237	2004	2004	2003	2003
sample1975	2004	2004	2004	2004
sample2749	2004	2004	2001	2001
sample2489	2004	2004	2002	2002
sample2238	2004	2004	2004	2004
sample2750	2004	2004	2003	2003
sample1976	2004	2004	1999	1999
sample2239	2004	2004	2002	2002
sample2490	2004	2004	2004	2004
sample2751	2004	2004	2002	2002
sample2240	2004	2004	2002	2002
sample1977	2004	2004	2002	2002
sample2491	2004	2004	2004	2004
sample2752	2004	2004	2003	2003
sample2241	2004	2004	2003	2003
sample1978	2004	2004	2004	2004
sample2492	2004	2004	2004	2004
sample2493	2004	2004	2004	2004
sample2753	2004	2004	2003	2003
sample2242	2004	2004	2004	2004
sample1979	2004	2004	2004	2004
sample2494	2004	2004	2004	2004
sample2754	2004	2004	2004	2004
sample2243	2004	2004	2003	2003
sample1980	2004	2004	2004	2004
sample2755	2004	2004	2002	2002
sample2495	2004	2004	2003	2003
sample2244	2004	2004	2003	2003
sample2756	2004	2004	2003	2003
sample1981	2004	2004	2003	2003
sample2496	2004	2004	2003	2003
sample2245	2004	2004	2004	2004
sample2757	2004	2004	2004	2004
sample2497	2004	2004	2003	2003
sample2246	2004	2004	2002	2002
sample1982	2004	2004	2003	2003
sample2758	2004	2004	2004	2004
sample2498	2004	2004	2003	2003
sample2247	2004	2004	2003	2003
sample1983	2004	2004	2001	2001
sample2759	2004	2004	2002	2002
sample2248	2004	2004	2003	2003
sample2499	2004	2004	2002	2002
sample1984	2004	2004	2002	2002
sample2760	2004	2004	2004	2004
sample2249	2004	2004	2004	2004
sample2500	2004	2004	2002	2002
sample2761	2004	2004	2004	2004
sample1985	2004	2004	2004	2004
sample2250	2004	2004	2003	2003
sample2501	2004	2004	2004	2004
sample2762	2004	2004	2002	2002
sample2251	2004	2004	2004	2004
sample1986	2004	2004	2004	2004
sample2502	2004	2004	2004	2004
sample2763	2004	2004	2003	2003
sample2252	2004	2004	2003	2003
sample1987	2004	2004	2003	2003
sample2503	2004	2004	2002	2002
sample2764	2004	2004	2004	2004
sample2253	2004	2004	2003	2003
sample1988	2004	2004	2003	2003
sample2765	2004	2004	2004	2004
sample2504	2004	2004	2002	2002
sample2254	2004	2004	2003	2003
sample1989	2004	2004	2002	2002
sample2766	2004	2004	2003	2003
sample2505	2004	2004	2002	2002
sample2255	2004	2004	2003	2003
sample1990	2004	2004	2004	2004
sample2767	2004	2004	2001	2001
sample2506	2004	2004	2004	2004
sample2256	2004	2004	2000	2000
sample2768	2004	2004	2004	2004
sample2507	2004	2004	2003	2003
sample2257	2004	2004	2003	2003
sample1991	2004	2004	2003	2003
sample2769	2004	2004	2002	2002
sample2258	2004	2004	2003	2003
sample2508	2004	2004	2003	2003
sample1992	2004	2004	2003	2003
sample2770	2004	2004	2004	2004
sample2259	2004	2004	2004	2004
sample2509	2004	2004	2004	2004
sample2771	2004	2004	2004	2004
sample2260	2004	2004	2003	2003
sample1993	2004	2004	2003	2003
sample2510	2004	2004	2002	2002
sample2772	2004	2004	2004	2004
sample2261	2004	2004	2004	2004
sample2511	2004	2004	2004	2004
sample1994	2004	2004	2004	2004
sample2773	2004	2004	2004	2004
sample2262	2004	2004	2003	2003
sample2512	2004	2004	2003	2003
sample2774	2004	2004	2004	2004
sample2263	2004	2004	2004	2004
sample1995	2004	2004	2004	2004
sample2513	2004	2004	2002	2002
sample2775	2004	2004	2002	2002
sample2264	2004	2004	2004	2004
sample2514	2004	2004	2003	2003
sample1996	2004	2004	2004	2004
sample2776	2004	2004	2004	2004
sample2265	2004	2004	2004	2004
sample2515	2004	2004	2002	2002
sample2777	2004	2004	2003	2003
sample1997	2004	2004	2002	2002
sample2266	2004	2004	2003	2003
sample2516	2004	2004	2004	2004
sample2778	2004	2004	2004	2004
sample1998	2004	2004	2002	2002
sample2267	2004	2004	2003	2003
sample2779	2004	2004	2002	2002
sample2517	2004	2004	2001	2001
sample1999	2004	2004	2004	2004
sample2268	2004	2004	2004	2004
sample2518	2004	2004	2004	2004
sample2780	2004	2004	2004	2004
sample2269	2004	2004	2004	2004
sample2000	2004	2004	2003	2003
sample2781	2004	2004	2003	2003
sample2519	2004	2004	2003	2003
sample2270	2004	2004	2003	2003
sample2001	2004	2004	2004	2004
sample2782	2004	2004	2003	2003
sample2520	2004	2004	2003	2003
sample2271	2004	2004	2003	2003
sample2783	2004	2004	2002	2002
sample2002	2004	2004	2004	2004
sample2521	2004	2004	2003	2003
sample2272	2004	2004	2004	2004
sample2784	2004	2004	2003	2003
sample2273	2004	2004	2003	2003
sample2522	2004	2004	2004	2004
sample2003	2004	2004	2004	2004
sample2785	2004	2004	2004	2004
sample2274	2004	2004	2004	2004
sample2523	2004	2004	2003	2003
sample2004	2004	2004	2002	2002
sample2786	2004	2004	2004	2004
sample2275	2004	2004	2004	2004
sample2524	2004	2004	2004	2004
sample2005	2004	2004	2002	2002
sample2787	2004	2004	2002	2002
sample2276	2004	2004	2002	2002
sample2525	2004	2004	2003	2003
sample2006	2004	2004	2002	2002
sample2788	2004	2004	2001	2001
sample2277	2004	2004	2002	2002
sample2526	2004	2004	2004	2004
sample2007	2004	2004	2001	2001
sample2789	2004	2004	2002	2002
sample2278	2004	2004	2001	2001
sample2527	2004	2004	2004	2004
sample2790	2004	2004	2004	2004
sample2008	2004	2004	2002	2002
sample2279	2004	2004	2003	2003
sample2528	2004	2004	2004	2004
sample2791	2004	2004	2003	2003
sample2009	2004	2004	1999	1999
sample2280	2004	2004	2003	2003
sample2529	2004	2004	2003	2003
sample2792	2004	2004	2003	2003
sample2010	2004	2004	2003	2003
sample2281	2004	2004	2002	2002
sample2530	2004	2004	2002	2002
sample2793	2004	2004	2002	2002
sample2011	2004	2004	2003	2003
sample2282	2004	2004	2002	2002
sample2794	2004	2004	2002	2002
sample2531	2004	2004	2003	2003
sample2012	2004	2004	2003	2003
sample2283	2004	2004	2004	2004
sample2795	2004	2004	2004	2004
sample2532	2004	2004	2004	2004
sample2013	2004	2004	2002	2002
sample2284	2004	2004	2004	2004
sample2796	2004	2004	2002	2002
sample2533	2004	2004	2002	2002
sample2285	2004	2004	2003	2003
sample2014	2004	2004	2003	2003
sample2797	2004	2004	2003	2003
sample2534	2004	2004	2002	2002
sample2286	2004	2004	2003	2003
sample2798	2004	2004	2003	2003
sample2015	2004	2004	2004	2004
sample2535	2004	2004	2003	2003
sample2287	2004	2004	2004	2004
sample2799	2004	2004	2004	2004
sample2016	2004	2004	2004	2004
sample2536	2004	2004	2003	2003
sample2288	2004	2004	2004	2004
sample2800	2004	2004	2004	2004
sample2017	2004	2004	2004	2004
sample2289	2004	2004	2004	2004
sample2537	2004	2004	2002	2002
sample2801	2004	2004	2004	2004
sample2290	2004	2004	2003	2003
sample2538	2004	2004	2003	2003
sample2802	2004	2004	2003	2003
sample2018	2004	2004	2004	2004
sample2803	2004	2004	2004	2004
sample2291	2004	2004	2003	2003
sample2019	2004	2004	2002	2002
sample2539	2004	2004	2003	2003
sample2804	2004	2004	2002	2002
sample2292	2004	2004	2001	2001
sample2020	2004	2004	2003	2003
sample2540	2004	2004	2004	2004
sample2805	2004	2004	2003	2003
sample2293	2004	2004	2003	2003
sample2021	2004	2004	2004	2004
sample2541	2004	2004	2002	2002
sample2806	2004	2004	2003	2003
sample2294	2004	2004	2004	2004
sample2022	2004	2004	2003	2003
sample2542	2004	2004	2003	2003
sample2807	2004	2004	2002	2002
sample2295	2004	2004	2003	2003
sample2023	2004	2004	2004	2004
sample2543	2004	2004	2003	2003
sample2808	2004	2004	2002	2002
sample2296	2004	2004	2003	2003
sample2544	2004	2004	2004	2004
sample2024	2004	2004	2003	2003
sample2297	2004	2004	2004	2004
sample2809	2004	2004	2002	2002
sample2810	2004	2004	2003	2003
sample2298	2004	2004	2004	2004
sample2299	2004	2004	2004	2004
sample2811	2004	2004	2004	2004
sample2025	2004	2004	2001	2001
sample2545	2004	2004	2004	2004
sample2300	2004	2004	2004	2004
sample2812	2004	2004	2004	2004
sample2026	2004	2004	2003	2003
sample2546	2004	2004	2003	2003
sample2301	2004	2004	2004	2004
sample2813	2004	2004	2004	2004
sample2547	2004	2004	2003	2003
sample2027	2004	2004	2002	2002
sample2302	2004	2004	2004	2004
sample2814	2004	2004	2004	2004
sample2028	2004	2004	2003	2003
sample2548	2004	2004	2003	2003
sample2815	2004	2004	2004	2004
sample2303	2004	2004	2004	2004
sample2029	2004	2004	2004	2004
sample2549	2004	2004	2002	2002
sample2816	2004	2004	2004	2004
sample2304	2004	2004	2003	2003
sample2030	2004	2004	2003	2003
sample2550	2004	2004	2002	2002
sample2817	2004	2004	2001	2001
sample2305	2004	2004	2003	2003
sample2031	2004	2004	2004	2004
sample2551	2004	2004	2003	2003
sample2818	2004	2004	2004	2004
sample2306	2004	2004	2002	2002
sample2032	2004	2004	2002	2002
sample2552	2004	2004	2002	2002
sample2307	2004	2004	2004	2004
sample2819	2004	2004	2001	2001
sample2033	2004	2004	2004	2004
sample2308	2004	2004	2002	2002
sample2553	2004	2004	2004	2004
sample2820	2004	2004	2002	2002
sample2309	2004	2004	2003	2003
sample2821	2004	2004	2003	2003
sample2034	2004	2004	2002	2002
sample2554	2004	2004	2004	2004
sample2310	2004	2004	2002	2002
sample2822	2004	2004	2004	2004
sample2555	2004	2004	2004	2004
sample2035	2004	2004	2002	2002
sample2311	2004	2004	2002	2002
sample2823	2004	2004	2003	2003
sample2556	2004	2004	2004	2004
sample2036	2004	2004	2003	2003
sample2312	2004	2004	2004	2004
sample2824	2004	2004	2004	2004
sample2557	2004	2004	2003	2003
sample2037	2004	2004	2003	2003
sample2313	2004	2004	2004	2004
sample2825	2004	2004	2003	2003
sample2558	2004	2004	2003	2003
sample2314	2004	2004	2003	2003
sample2038	2004	2004	2004	2004
sample2826	2004	2004	2003	2003
sample2559	2004	2004	2004	2004
sample2315	2004	2004	2002	2002
sample2827	2004	2004	2003	2003
sample2039	2004	2004	2002	2002
sample2560	2004	2004	2003	2003
sample2316	2004	2004	2003	2003
sample2828	2004	2004	2004	2004
sample2040	2004	2004	2001	2001
sample2561	2004	2004	2002	2002
sample2317	2004	2004	2001	2001
sample2829	2004	2004	2002	2002
sample2041	2004	2004	2002	2002
sample2562	2004	2004	2002	2002
sample2318	2004	2004	2004	2004
sample2830	2004	2004	2003	2003
sample2563	2004	2004	2001	2001
sample2042	2004	2004	2003	2003
sample2831	2004	2004	2004	2004
sample2319	2004	2004	2004	2004
sample2564	2004	2004	2003	2003
sample2832	2004	2004	2003	2003
sample2320	2004	2004	2002	2002
sample2043	2004	2004	2002	2002
sample2565	2004	2004	2003	2003
sample2833	2004	2004	2004	2004
sample2321	2004	2004	2004	2004
sample2044	2004	2004	2004	2004
sample2834	2004	2004	2003	2003
sample2322	2004	2004	2003	2003
sample2566	2004	2004	2003	2003
sample2045	2004	2004	2003	2003
sample2835	2004	2004	2003	2003
sample2323	2004	2004	2002	2002
sample2567	2004	2004	2002	2002
sample2836	2004	2004	2002	2002
sample2324	2004	2004	2003	2003
sample2046	2004	2004	2003	2003
sample2568	2004	2004	2004	2004
sample2837	2004	2004	2002	2002
sample2325	2004	2004	2004	2004
sample2047	2004	2004	2003	2003
sample2569	2004	2004	2003	2003
sample2838	2004	2004	2002	2002
sample2326	2004	2004	2002	2002
sample2048	2004	2004	2004	2004
sample2570	2004	2004	2004	2004
sample2839	2004	2004	2003	2003
sample2327	2004	2004	2004	2004
sample2049	2004	2004	2004	2004
sample2571	2004	2004	2002	2002
sample2840	2004	2004	2002	2002
sample2328	2004	2004	2004	2004
sample2050	2004	2004	2004	2004
sample2945	2004	2004	2004	2004
sample2572	2004	2004	2002	2002
sample3457	2004	2004	2003	2003
sample2841	2004	2004	2004	2004
sample2329	2004	2004	2004	2004
sample3713	2004	2004	2004	2004
sample3201	2004	2004	2002	2002
sample2051	2004	2004	2003	2003
sample2573	2004	2004	2004	2004
sample2330	2004	2004	2004	2004
sample2842	2004	2004	2004	2004
sample2946	2004	2004	2004	2004
sample2052	2004	2004	2004	2004
sample3458	2004	2004	2003	2003
sample3202	2004	2004	2001	2001
sample3714	2004	2004	2002	2002
sample2574	2004	2004	2004	2004
sample2331	2004	2004	2004	2004
sample2843	2004	2004	2002	2002
sample2053	2004	2004	2004	2004
sample2575	2004	2004	2004	2004
sample2947	2004	2004	2004	2004
sample2332	2004	2004	2004	2004
sample2844	2004	2004	2004	2004
sample3715	2004	2004	2002	2002
sample3203	2004	2004	2003	2003
sample3459	2004	2004	2001	2001
sample2576	2004	2004	2003	2003
sample2333	2004	2004	2004	2004
sample2054	2004	2004	2003	2003
sample2845	2004	2004	2003	2003
sample2948	2004	2004	2004	2004
sample3716	2004	2004	2001	2001
sample3204	2004	2004	2002	2002
sample2334	2004	2004	2003	2003
sample2577	2004	2004	2004	2004
sample3460	2004	2004	2003	2003
sample2055	2004	2004	2004	2004
sample2846	2004	2004	2001	2001
sample2949	2004	2004	2001	2001
sample3717	2004	2004	2004	2004
sample2335	2004	2004	2002	2002
sample2578	2004	2004	2001	2001
sample3205	2004	2004	2003	2003
sample2847	2004	2004	2002	2002
sample2056	2004	2004	2003	2003
sample3461	2004	2004	2004	2004
sample2336	2004	2004	2004	2004
sample2579	2004	2004	2004	2004
sample2848	2004	2004	2001	2001
sample2950	2004	2004	2002	2002
sample3718	2004	2004	2003	2003
sample2057	2004	2004	2004	2004
sample3206	2004	2004	2002	2002
sample2337	2004	2004	1998	1998
sample2580	2004	2004	2003	2003
sample2849	2004	2004	2003	2003
sample2058	2004	2004	2004	2004
sample3719	2004	2004	2004	2004
sample2951	2004	2004	2003	2003
sample3462	2004	2004	2004	2004
sample3207	2004	2004	2004	2004
sample2338	2004	2004	2001	2001
sample2581	2004	2004	2004	2004
sample2850	2004	2004	2004	2004
